,smape_oos
Chihuahua,6.81
Aguascalientes,10.35
Guanajuato,12.42
Baja California,12.63
Hidalgo,14.28
Veracruz,14.46
Sinaloa,14.76
Morelos,16.08
Oaxaca,16.68
Tamaulipas,17.47
Coahuila,18.28
Zacatecas,18.38
Durango,18.42
Yucatán,18.43
México,18.63
Jalisco,19.46
Nuevo León,19.74
Sonora,20.85
Guerrero,20.95
Ciudad de México,21.29
Campeche,23.76
Puebla,24.18
Nayarit,25.11
Tabasco,26.38
Chiapas,26.97
Querétaro,32.3
San Luis Potosí,32.74
Quintana Roo,36.17
Baja California Sur,36.88
Colima,41.19
Michoacán,55.84
Tlaxcala,68.07
